Model,Year,Month,Precip_mm
CHIRPS,1981,1,4.575058199318381
CHIRPS,1981,1,5.443215440558337
CHIRPS,1981,1,6.265283155454393
CHIRPS,1981,1,4.713284507558244
CHIRPS,1981,1,4.330143327862006
CHIRPS,1981,1,7.164836071811855
CHIRPS,1981,2,3.4438007832399657
CHIRPS,1981,2,3.1661996700603967
CHIRPS,1981,2,2.166967848830626
CHIRPS,1981,2,2.305334821775868
CHIRPS,1981,2,2.44489965831428
CHIRPS,1981,2,1.861180418470158
CHIRPS,1981,3,7.9849111945555435
CHIRPS,1981,3,8.200386670050623
CHIRPS,1981,3,22.99453679850595
CHIRPS,1981,3,22.690775715720296
CHIRPS,1981,3,30.172883674663794
CHIRPS,1981,3,47.15918058016226
CHIRPS,1981,4,17.15195451184649
CHIRPS,1981,4,54.88603572534021
CHIRPS,1981,4,28.803790373318257
CHIRPS,1981,4,32.15152554688361
CHIRPS,1981,4,32.319776851749616
CHIRPS,1981,4,13.370520440951536
CHIRPS,1981,5,22.765123690547387
CHIRPS,1981,5,70.3990809179919
CHIRPS,1981,5,57.57103823728717
CHIRPS,1981,5,11.613187190198383
CHIRPS,1981,5,12.037381490194242
CHIRPS,1981,5,11.44757886603179
CHIRPS,1981,6,13.868532788283165
CHIRPS,1981,6,11.961286298074763
CHIRPS,1981,6,5.611807194227216
CHIRPS,1981,6,34.46944118937867
CHIRPS,1981,6,14.054156065116349
CHIRPS,1981,6,33.44416047122009
CHIRPS,1981,7,217.78161178115192
CHIRPS,1981,7,149.88310512748433
CHIRPS,1981,7,64.42031656274526
CHIRPS,1981,7,97.58141777241133
CHIRPS,1981,7,78.7736729151539
CHIRPS,1981,7,42.5499941590955
CHIRPS,1981,8,20.470060564306234
CHIRPS,1981,8,56.210179246314446
CHIRPS,1981,8,85.28741813543948
CHIRPS,1981,8,345.15600850671524
CHIRPS,1981,8,182.83314537755126
CHIRPS,1981,8,207.83618364859376
CHIRPS,1981,9,67.89010283100615
CHIRPS,1981,9,18.18582399927107
CHIRPS,1981,9,38.37338122140915
CHIRPS,1981,9,15.971208603538333
CHIRPS,1981,9,64.61673883619858
CHIRPS,1981,9,12.008500681676558
CHIRPS,1981,10,30.21687909360857
CHIRPS,1981,10,29.257027006507528
