Model,Scenario,Year,Month,Precip_mm
TaiESM1,historical,1981,5,0.0
TaiESM1,historical,1981,5,0.0
TaiESM1,historical,1981,5,0.008865494669648368
TaiESM1,historical,1981,5,3.090581958508397E-5
TaiESM1,historical,1981,5,1.652300064400983E-4
TaiESM1,historical,1981,5,0.0045328494863065855
TaiESM1,historical,1981,5,0.0
TaiESM1,historical,1981,5,8.881419722748979E-4
TaiESM1,historical,1981,5,0.003331712055852908
TaiESM1,historical,1981,5,0.0
TaiESM1,historical,1981,5,0.0
TaiESM1,historical,1981,5,0.0
TaiESM1,historical,1981,5,0.0
TaiESM1,historical,1981,5,0.0
TaiESM1,historical,1981,5,0.0
TaiESM1,historical,1981,5,0.27007272983256936
TaiESM1,historical,1981,6,26.261202471977924
TaiESM1,historical,1981,6,2.4178703461972875
TaiESM1,historical,1981,6,11.386871561647897
TaiESM1,historical,1981,6,9.44934584598332
TaiESM1,historical,1981,6,0.1403309847336893
TaiESM1,historical,1981,6,0.01947662786945974
TaiESM1,historical,1981,6,3.4336148608123076
TaiESM1,historical,1981,6,5.560856929415037
TaiESM1,historical,1981,6,20.759715041818936
TaiESM1,historical,1981,6,0.004994725266797024
TaiESM1,historical,1981,6,4.63379422711255
TaiESM1,historical,1981,6,1.1305339803939312
TaiESM1,historical,1981,6,0.007482692037331413
TaiESM1,historical,1981,6,0.0
TaiESM1,historical,1981,6,4.961931201899338
TaiESM1,historical,1981,6,2.605879295194059
TaiESM1,historical,1981,6,51.838902148264296
TaiESM1,historical,1981,6,0.1392017400738336
TaiESM1,historical,1981,6,0.5729409724218945
TaiESM1,historical,1981,6,0.0
TaiESM1,historical,1981,6,0.18970500183388234
TaiESM1,historical,1981,6,3.058829016435388
TaiESM1,historical,1981,6,0.37807248720468084
TaiESM1,historical,1981,6,5.779840034245895
TaiESM1,historical,1981,6,10.646832437992474
TaiESM1,historical,1981,6,24.698846175855248
TaiESM1,historical,1981,6,81.65697628376877
TaiESM1,historical,1981,6,90.42658515425946
TaiESM1,historical,1981,6,97.45373208547167
TaiESM1,historical,1981,6,40.14949278291299
TaiESM1,historical,1981,7,4.277707400322526
TaiESM1,historical,1981,7,25.887097318945795
TaiESM1,historical,1981,7,7.599619642691885
TaiESM1,historical,1981,7,0.8193035380107948
TaiESM1,historical,1981,7,17.030239185129616
TaiESM1,historical,1981,7,18.699388483683414
TaiESM1,historical,1981,7,3.855788088332903
TaiESM1,historical,1981,7,45.25277770302242
TaiESM1,historical,1981,7,506.0748464657736
TaiESM1,historical,1981,7,820.1482414591887
TaiESM1,historical,1981,7,298.39694532605773
TaiESM1,historical,1981,7,243.92256027976634
TaiESM1,historical,1981,7,0.18494836619029226
TaiESM1,historical,1981,7,401.1657242208829
TaiESM1,historical,1981,7,262.8359838713858
TaiESM1,historical,1981,7,398.7789907706492
TaiESM1,historical,1981,7,1.7258411555774422
TaiESM1,historical,1981,7,399.9776527233128
TaiESM1,historical,1981,7,541.3633445395769
TaiESM1,historical,1981,7,1.1981895767643687
TaiESM1,historical,1981,7,274.4051883613894
TaiESM1,historical,1981,7,599.3339007902237
TaiESM1,historical,1981,7,567.9501032560036
TaiESM1,historical,1981,7,158.79722472724688
TaiESM1,historical,1981,7,1.5104968129803384
TaiESM1,historical,1981,7,19.685784550868746
TaiESM1,historical,1981,7,0.14013610538446591
TaiESM1,historical,1981,7,0.0
TaiESM1,historical,1981,7,0.29890561663233584
TaiESM1,historical,1981,7,230.91987586986932
TaiESM1,historical,1981,7,223.13257252706572
TaiESM1,historical,1981,8,36.340999971739
TaiESM1,historical,1981,8,832.2354768935954
TaiESM1,historical,1981,8,667.1437245715392
TaiESM1,historical,1981,8,114.14636206249561
TaiESM1,historical,1981,8,93.20526419414549
TaiESM1,historical,1981,8,28.920605806963586
TaiESM1,historical,1981,8,733.9659389664856
TaiESM1,historical,1981,8,235.56255574919058
TaiESM1,historical,1981,8,0.0
TaiESM1,historical,1981,8,69.44401286302892
TaiESM1,historical,1981,8,140.37033075035563
TaiESM1,historical,1981,8,257.9735304952454
TaiESM1,historical,1981,8,16.311281347450368
TaiESM1,historical,1981,8,0.0
TaiESM1,historical,1981,8,0.0
TaiESM1,historical,1981,8,418.0594811560315
TaiESM1,historical,1981,8,140.90654646806055
TaiESM1,historical,1981,8,9.84853822178492
TaiESM1,historical,1981,8,498.0347722744271
TaiESM1,historical,1981,8,500.8987200106806
TaiESM1,historical,1981,8,192.9730899088445
TaiESM1,historical,1981,8,0.22178779499432258
TaiESM1,historical,1981,8,7.706609630952963
TaiESM1,historical,1981,8,2.7455273820691435
TaiESM1,historical,1981,8,0.07317358503214663
TaiESM1,historical,1981,8,1.2794867690331677
TaiESM1,historical,1981,8,180.481088405949
TaiESM1,historical,1981,8,3.5567056476103005
TaiESM1,historical,1981,8,394.36273651171706
TaiESM1,historical,1981,8,241.9771287042679
TaiESM1,historical,1981,8,12.525974047704297
TaiESM1,historical,1981,9,0.0
TaiESM1,historical,1981,9,19.66806441320621
TaiESM1,historical,1981,9,32.419403758979314
TaiESM1,historical,1981,9,0.010709868185301124
TaiESM1,historical,1981,9,23.015469772117743
TaiESM1,historical,1981,9,4.788784622290843
TaiESM1,historical,1981,9,2.0083644695521983
TaiESM1,historical,1981,9,1.5429912776314871E-4
TaiESM1,historical,1981,9,0.09921626841229508
TaiESM1,historical,1981,9,30.913734514318417
TaiESM1,historical,1981,9,63.32646332209807
TaiESM1,historical,1981,9,6.741903831836334
TaiESM1,historical,1981,9,0.14349763630067053
TaiESM1,historical,1981,9,20.722053460170926
TaiESM1,historical,1981,9,1.71205382373537
TaiESM1,historical,1981,9,1.7294005763085296
TaiESM1,historical,1981,9,107.93687348286383
TaiESM1,historical,1981,9,99.34672493503393
TaiESM1,historical,1981,9,23.54890404594087
TaiESM1,historical,1981,9,60.60442101174348
TaiESM1,historical,1981,9,64.0590271963056
TaiESM1,historical,1981,9,131.73058135808353
TaiESM1,historical,1981,9,302.0395862312443
TaiESM1,historical,1981,9,118.81608620865606
TaiESM1,historical,1981,9,74.00023357944973
TaiESM1,historical,1981,9,169.90646924859695
TaiESM1,historical,1981,9,126.06860142799233
TaiESM1,historical,1981,9,136.73897879085203
TaiESM1,historical,1981,9,137.26976867667778
TaiESM1,historical,1981,9,29.778438894813288
TaiESM1,historical,1981,10,1.0696658010137976
TaiESM1,historical,1981,10,0.03545148069879731
TaiESM1,historical,1981,10,0.1888653708289526
TaiESM1,historical,1981,10,0.39595801709527695
TaiESM1,historical,1981,10,0.0
TaiESM1,historical,1981,10,0.008192105966120269
TaiESM1,historical,1981,10,0.07531316779777769
TaiESM1,historical,1981,10,0.0
TaiESM1,historical,1981,10,0.0
TaiESM1,historical,1981,10,0.0
TaiESM1,historical,1981,10,1.2595096369565125E-4
TaiESM1,historical,1981,10,0.0
TaiESM1,historical,1981,10,0.0
TaiESM1,historical,1981,10,0.006449777219435199
TaiESM1,historical,1981,10,0.0
TaiESM1,historical,1981,10,0.0710642020346225
TaiESM1,historical,1981,10,0.010784426167178772
TaiESM1,historical,1981,10,0.0
TaiESM1,historical,1981,10,0.0
TaiESM1,historical,1981,10,0.5300316856460519
TaiESM1,historical,1981,10,0.2703467507619556
TaiESM1,historical,1981,10,0.6831167065972448
TaiESM1,historical,1981,10,0.0
TaiESM1,historical,1981,10,0.0
TaiESM1,historical,1981,10,0.0
TaiESM1,historical,1981,10,0.03837576757367172
TaiESM1,historical,1981,10,0.08246652865281721
TaiESM1,historical,1981,10,0.0
TaiESM1,historical,1981,10,0.26949326731349305
TaiESM1,historical,1981,10,1.2633613568820763
TaiESM1,historical,1981,10,0.01342629130846407
TaiESM1,historical,1981,11,2.7561733462074927E-4
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.004599796361800292
TaiESM1,historical,1981,11,6.873922059200109E-4
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,1.5171553028889872E-4
TaiESM1,historical,1981,11,9.621761586734715E-5
TaiESM1,historical,1981,11,0.1185392425508044
TaiESM1,historical,1981,11,0.013986599063118197
TaiESM1,historical,1981,11,3.208536044924321E-4
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,11,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.09027172006025182
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.0
TaiESM1,historical,1981,12,0.008817928764191024
TaiESM1,historical,1982,1,0.04585738554883129
TaiESM1,historical,1982,1,0.004687028619963385
TaiESM1,historical,1982,1,0.029936653072145852
TaiESM1,historical,1982,1,0.5207883598764567
TaiESM1,historical,1982,1,0.12494687396902249
TaiESM1,historical,1982,1,0.16762556999613867
TaiESM1,historical,1982,1,0.0014483985562063239
TaiESM1,historical,1982,1,0.0
TaiESM1,historical,1982,1,0.0
TaiESM1,historical,1982,1,2.027137184491708
TaiESM1,historical,1982,1,4.7060562966264806E-5
TaiESM1,historical,1982,1,0.0
TaiESM1,historical,1982,1,0.0
TaiESM1,historical,1982,1,0.0
TaiESM1,historical,1982,1,0.0
TaiESM1,historical,1982,1,0.33680207201766743
TaiESM1,historical,1982,1,0.8192174460141547
TaiESM1,historical,1982,1,0.0
TaiESM1,historical,1982,1,0.0
TaiESM1,historical,1982,1,0.0
TaiESM1,historical,1982,1,0.0
TaiESM1,historical,1982,1,0.0
TaiESM1,historical,1982,1,0.0
TaiESM1,historical,1982,1,0.0
TaiESM1,historical,1982,1,0.0
TaiESM1,historical,1982,1,0.0
TaiESM1,historical,1982,1,0.0
TaiESM1,historical,1982,1,0.0071968533616917005
TaiESM1,historical,1982,1,0.18974638810039557
TaiESM1,historical,1982,1,0.3188032545335165
TaiESM1,historical,1982,1,0.0
TaiESM1,historical,1982,2,0.03262770665353938
TaiESM1,historical,1982,2,0.11548042495960763
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0683277306155273
TaiESM1,historical,1982,2,1.2954208485297758
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.1710646021008719
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.0
TaiESM1,historical,1982,2,0.019728291038982913
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.006806665571202734
TaiESM1,historical,1982,3,0.003632136814330318
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,2.453161596224604
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.2058872684787867
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,2.5314331354198165
TaiESM1,historical,1982,3,1.5382595776442345
TaiESM1,historical,1982,3,0.0
TaiESM1,historical,1982,3,3.2223209206621255
TaiESM1,historical,1982,4,4.667325396253002
TaiESM1,historical,1982,4,11.177823126092688
TaiESM1,historical,1982,4,0.0
TaiESM1,historical,1982,4,5.696874206547748
TaiESM1,historical,1982,4,12.740713540483346
TaiESM1,historical,1982,4,0.2467340197484796
TaiESM1,historical,1982,4,0.0
TaiESM1,historical,1982,4,0.0
TaiESM1,historical,1982,4,4.815127039759611
TaiESM1,historical,1982,4,55.51447040621633
TaiESM1,historical,1982,4,0.8400403258596784
TaiESM1,historical,1982,4,0.05650958646665412
TaiESM1,historical,1982,4,0.0
TaiESM1,historical,1982,4,0.0
TaiESM1,historical,1982,4,0.0
TaiESM1,historical,1982,4,0.15795950655718255
TaiESM1,historical,1982,4,0.049444350637875265
TaiESM1,historical,1982,4,0.22168870121694598
TaiESM1,historical,1982,4,2.4919515819082103
TaiESM1,historical,1982,4,0.0012799105903495867
TaiESM1,historical,1982,4,3.543753471477156
TaiESM1,historical,1982,4,0.0
TaiESM1,historical,1982,4,0.0
TaiESM1,historical,1982,4,0.17437877903599402
TaiESM1,historical,1982,4,0.0
TaiESM1,historical,1982,4,0.0
TaiESM1,historical,1982,4,0.002242607077317669
TaiESM1,historical,1982,4,0.009117486504199586
TaiESM1,historical,1982,4,0.07083681024808207
TaiESM1,historical,1982,4,0.0
TaiESM1,historical,1982,5,0.0
TaiESM1,historical,1982,5,0.02825880078484727
TaiESM1,historical,1982,5,2.3335468564363167
TaiESM1,historical,1982,5,0.12285440854067413
TaiESM1,historical,1982,5,75.19455460711676
TaiESM1,historical,1982,5,5.017221369428682
TaiESM1,historical,1982,5,3.157224346897564E-5
TaiESM1,historical,1982,5,0.0
TaiESM1,historical,1982,5,0.0021680780240159654
TaiESM1,historical,1982,5,0.0042519765521500785
TaiESM1,historical,1982,5,0.001976225948083749
TaiESM1,historical,1982,5,3.396241618187061
TaiESM1,historical,1982,5,0.35388195360236163
TaiESM1,historical,1982,5,0.6544965869753271
TaiESM1,historical,1982,5,0.35491854509910353
TaiESM1,historical,1982,5,0.17672848748858397
TaiESM1,historical,1982,5,0.0
TaiESM1,historical,1982,5,0.01152631963684409
TaiESM1,historical,1982,5,4.028634879075382E-4
TaiESM1,historical,1982,5,0.3915725086149706
TaiESM1,historical,1982,5,0.22079818078524516
TaiESM1,historical,1982,5,0.7279334550701662
TaiESM1,historical,1982,5,0.5558038197519156
TaiESM1,historical,1982,5,52.82580635921645
TaiESM1,historical,1982,5,190.0302229134122
TaiESM1,historical,1982,5,1.8810185909232162
TaiESM1,historical,1982,5,0.9636995557291342
TaiESM1,historical,1982,5,0.09241341241146173
TaiESM1,historical,1982,5,0.0
TaiESM1,historical,1982,5,0.0047552300750886
TaiESM1,historical,1982,5,0.0
TaiESM1,historical,1982,6,0.0
TaiESM1,historical,1982,6,4.519059354598117
TaiESM1,historical,1982,6,4.239008894270739
