Model,Scenario,Year,Month,Precip_mm
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,0.011994348089037148
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,0.25696629320676695
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,12.43535122583435
TaiESM1,ssp245,2015,1,7.823358048977586
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,0.2344415775714035
TaiESM1,ssp245,2015,1,0.008682705981407324
TaiESM1,ssp245,2015,1,0.16661402546069656
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,3.1203054820569385
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,1,0.0054913060207378035
TaiESM1,ssp245,2015,1,5.217378387699231
TaiESM1,ssp245,2015,1,0.0
TaiESM1,ssp245,2015,2,0.0
TaiESM1,ssp245,2015,2,0.14538784654184583
TaiESM1,ssp245,2015,2,0.0
TaiESM1,ssp245,2015,2,0.0
TaiESM1,ssp245,2015,2,0.0
TaiESM1,ssp245,2015,2,0.0
TaiESM1,ssp245,2015,2,0.0
TaiESM1,ssp245,2015,2,0.0
TaiESM1,ssp245,2015,2,0.0
TaiESM1,ssp245,2015,2,0.0
TaiESM1,ssp245,2015,2,0.0
TaiESM1,ssp245,2015,2,0.0
TaiESM1,ssp245,2015,2,0.0
TaiESM1,ssp245,2015,2,0.0
TaiESM1,ssp245,2015,2,0.0
TaiESM1,ssp245,2015,2,0.0
TaiESM1,ssp245,2015,2,0.0
TaiESM1,ssp245,2015,2,0.0
