Model,Year,Month,Precip_mm
CHIRPS,1981,1,2.8444789350505104
CHIRPS,1981,1,3.97707758799608
CHIRPS,1981,1,4.273229074198865
CHIRPS,1981,1,2.7616200405371965
CHIRPS,1981,1,2.6164020563330403
CHIRPS,1981,1,4.759958846668139
CHIRPS,1981,2,2.7915945686650767
CHIRPS,1981,2,3.1342284807941416
CHIRPS,1981,2,2.343871194731462
CHIRPS,1981,2,2.803012303558245
CHIRPS,1981,2,2.6991849608920226
CHIRPS,1981,2,3.370328413286125
CHIRPS,1981,3,19.28275728595157
CHIRPS,1981,3,19.888618431748675
CHIRPS,1981,3,66.5245089193165
CHIRPS,1981,3,53.98569669550726
CHIRPS,1981,3,72.65787112126633
CHIRPS,1981,3,156.37205024465345
CHIRPS,1981,4,46.19059100816644
CHIRPS,1981,4,126.36960310345887
CHIRPS,1981,4,107.78848879082369
CHIRPS,1981,4,36.27466285432659
CHIRPS,1981,4,62.38708695035195
CHIRPS,1981,4,19.93157804160932
CHIRPS,1981,5,34.79240812774865
CHIRPS,1981,5,44.89108391902873
CHIRPS,1981,5,170.57894781086267
CHIRPS,1981,5,17.853967114287787
CHIRPS,1981,5,15.928154320292887
CHIRPS,1981,5,25.65525718399126
CHIRPS,1981,6,7.339188632724824
CHIRPS,1981,6,8.3639722012839
CHIRPS,1981,6,5.325283919454669
CHIRPS,1981,6,39.252555235574874
CHIRPS,1981,6,34.08217705919218
CHIRPS,1981,6,15.371391455438797
CHIRPS,1981,7,549.5847670311946
CHIRPS,1981,7,250.16032723516054
CHIRPS,1981,7,89.14171360799853
CHIRPS,1981,7,262.2514305607582
CHIRPS,1981,7,164.82156730606198
CHIRPS,1981,7,80.9415726961441
CHIRPS,1981,8,67.18839055391847
CHIRPS,1981,8,113.96912941779527
CHIRPS,1981,8,118.34994111877475
CHIRPS,1981,8,443.6325760662994
CHIRPS,1981,8,295.2083397450773
CHIRPS,1981,8,146.60141246507487
CHIRPS,1981,9,29.845337360104686
CHIRPS,1981,9,9.56963276350526
CHIRPS,1981,9,17.8133521170558
CHIRPS,1981,9,10.890426013669495
CHIRPS,1981,9,20.81119067806819
CHIRPS,1981,9,7.608799558337775
CHIRPS,1981,10,25.17981827310203
CHIRPS,1981,10,46.260438823398154
CHIRPS,1981,10,11.868497879821218
CHIRPS,1981,10,10.56157408689302
CHIRPS,1981,10,10.186088835321463
CHIRPS,1981,10,12.63364104186387
CHIRPS,1981,11,20.272998116876426
CHIRPS,1981,11,8.746044547305349
CHIRPS,1981,11,8.119812828135355
CHIRPS,1981,11,7.575571022586579
CHIRPS,1981,11,35.24839327412523
CHIRPS,1981,11,7.652839162882451
CHIRPS,1981,12,2.8086649085359086
CHIRPS,1981,12,2.1140036408460285
CHIRPS,1981,12,1.8580609859427142
CHIRPS,1981,12,3.028701826491349
CHIRPS,1981,12,1.8249641403783208
CHIRPS,1981,12,4.7954576205927815
CHIRPS,1982,1,5.139539796281134
CHIRPS,1982,1,6.9454247934395426
CHIRPS,1982,1,9.579591808351537
CHIRPS,1982,1,6.777828065217836
CHIRPS,1982,1,2.5658426431264143
CHIRPS,1982,1,3.020275849562294
CHIRPS,1982,2,5.202751309329583
CHIRPS,1982,2,9.293414620554616
CHIRPS,1982,2,8.456079839584682
CHIRPS,1982,2,3.7205196547636725
CHIRPS,1982,2,6.786352067382106
CHIRPS,1982,2,3.720153426401029
CHIRPS,1982,3,55.621981482539816
CHIRPS,1982,3,17.107023074124328
CHIRPS,1982,3,39.18233849382152
CHIRPS,1982,3,10.055084554406356
CHIRPS,1982,3,10.767656981326603
CHIRPS,1982,3,23.540931123322768
CHIRPS,1982,4,105.50301158685537
CHIRPS,1982,4,120.04687271667208
CHIRPS,1982,4,67.17292206491437
CHIRPS,1982,4,29.167201630401408
CHIRPS,1982,4,57.949751791064145
CHIRPS,1982,4,102.14376957157184
CHIRPS,1982,5,80.78319879370281
CHIRPS,1982,5,35.23084443693688
CHIRPS,1982,5,64.88912245845432
CHIRPS,1982,5,48.30269036265845
CHIRPS,1982,5,17.387363084161315
CHIRPS,1982,5,42.0595285582791
CHIRPS,1982,6,10.684581552502067
CHIRPS,1982,6,10.355488197653436
CHIRPS,1982,6,10.920833576757873
CHIRPS,1982,6,70.64666284074193
CHIRPS,1982,6,12.134137460694486
CHIRPS,1982,6,24.604187886341496
CHIRPS,1982,7,144.18900800961976
CHIRPS,1982,7,41.95797623621962
CHIRPS,1982,7,66.00680040010202
CHIRPS,1982,7,184.90816444227778
CHIRPS,1982,7,188.85585408674234
CHIRPS,1982,7,332.0627651131696
CHIRPS,1982,8,55.361756234387165
CHIRPS,1982,8,101.268271128708
CHIRPS,1982,8,137.63754349122743
CHIRPS,1982,8,182.95458734045474
CHIRPS,1982,8,193.43459456245017
CHIRPS,1982,8,34.39738884342043
CHIRPS,1982,9,20.076015682731928
CHIRPS,1982,9,23.69789454665119
CHIRPS,1982,9,7.637392308557404
CHIRPS,1982,9,6.957378114808333
CHIRPS,1982,9,14.631149938875403
CHIRPS,1982,9,27.97366205860053
CHIRPS,1982,10,42.962883493843606
CHIRPS,1982,10,88.72830768819219
CHIRPS,1982,10,80.40669839708036
CHIRPS,1982,10,9.136267288510076
CHIRPS,1982,10,10.38927062853863
CHIRPS,1982,10,11.066981948320475
CHIRPS,1982,11,5.765080923664287
CHIRPS,1982,11,6.2328377251956955
CHIRPS,1982,11,6.691723026419695
CHIRPS,1982,11,12.83342101094954
CHIRPS,1982,11,6.893617939940512
CHIRPS,1982,11,8.750675485822754
CHIRPS,1982,12,4.107275823862995
CHIRPS,1982,12,4.022473552897797
CHIRPS,1982,12,3.356620076260202
CHIRPS,1982,12,2.6687190687115656
CHIRPS,1982,12,3.2699708436835184
CHIRPS,1982,12,3.540135436693328
CHIRPS,1983,1,4.6275454090101835
CHIRPS,1983,1,3.1837307792043266
CHIRPS,1983,1,4.955705655209342
CHIRPS,1983,1,4.8983304040582585
CHIRPS,1983,1,4.774978341621657
CHIRPS,1983,1,5.775316426752519
CHIRPS,1983,2,4.037407623764658
CHIRPS,1983,2,2.9553658828949674
